一、产品目录,1,1,产品目录,,“供应商简称-产品目录”
二、资信文件,2,1,营业执照,,“供应商简称-营业执照”
二、资信文件,2,2,税务登记证,,“供应商简称-税务登记证”
二、资信文件,2,3,营业执照五证合一,,“供应商简称-营业执照五证合一”
二、资信文件,2,4,企业基础信用报告,,“供应商简称-营业执照”
三、信息调研,3,1,供应商基础信息表,,“供应商简称-基础信息表”
三、信息调研,3,2,供应商调研表,,“供应商简称-调研表”
三、信息调研,3,3,样品检测报告,,“供应商简称-样品检测报告”
四、体系文件,4,1,一般文件,1.企业简介,“供应商简称-企业简介”
四、体系文件,4,1,一般文件,2.企业文化,“供应商简称-企业文化”
四、体系文件,4,1,一般文件,3.荣誉与奖项,“供应商简称-荣誉与奖项”
四、体系文件,4,2,生产控制文件,1.企业生产流程图,“供应商简称-生产流程图”
四、体系文件,4,2,生产控制文件,2.产品控制程序文件,“供应商简称-产品控制程序文件”
四、体系文件,4,2,生产控制文件,3.产品控制过程资料,“供应商简称-产品控制过程资料”
四、体系文件,4,2,生产控制文件,4.生产现场技术工艺指导书,“供应商简称-生产现场技术工艺指导书”
四、体系文件,4,2,生产控制文件,5.产品认证证书复印件,“供应商简称-产品认证证书”
四、体系文件,4,3,行政管理文件,1.经营方针,“供应商简称-经营方针”
四、体系文件,4,3,行政管理文件,2.质量方针,“供应商简称-质量方针”
四、体系文件,4,3,行政管理文件,3.中长期发展规划,“供应商简称-发展规划”
四、体系文件,4,3,行政管理文件,4.贵司对贵司客户评审制度,“供应商简称-客户评审制度”
四、体系文件,4,3,行政管理文件,5.贵司对贵司供应商评审制度,“供应商简称-供应商评审制度”
四、体系文件,4,3,行政管理文件,6.供应商建议与意见通道,“供应商简称-供应商建议与意见通道”
四、体系文件,4,3,行政管理文件,7.供应商投诉通道,“供应商简称-供应商投诉通道”
四、体系文件,4,3,行政管理文件,8.客户建议与意见通道,“供应商简称-客户建议与意见通道”
四、体系文件,4,3,行政管理文件,9.客户投诉通道,“供应商简称-客户投诉通道”
四、体系文件,4,3,行政管理文件,10.员工建议与意见通道,“供应商简称-员工建议与意见通道”
四、体系文件,4,3,行政管理文件,11.员工投诉通道,“供应商简称员工投诉通道”
四、体系文件,4,3,行政管理文件,12.组织架构图,“供应商简称-组织架构图”
四、体系文件,4,3,行政管理文件,13.社会责任手册/程序文件,“供应商简称-社会责任手册/程序文件”
四、体系文件,4,3,行政管理文件,14.员工手册,“供应商简称-员工手册”
四、体系文件,4,3,行政管理文件,15.员工培训计划和记录,“供应商简称-员工培训计划和记录”
四、体系文件,4,3,行政管理文件,16.企业规章制度,“供应商简称-企业规章制度”
四、体系文件,4,4,质量管理体系文件,1.质量管理体系证书复印件,“供应商简称-质量管理体系证书”
四、体系文件,4,4,质量管理体系文件,2.职业健康管理体系证书复印件,“供应商简称-职业健康管理体系证书”
四、体系文件,4,4,质量管理体系文件,3.环境管理体系证书复印件,“供应商简称-环境管理体系证书”
四、体系文件,4,4,质量管理体系文件,4.危险品管理文件,“供应商简称-危险品管理文件”
四、体系文件,4,4,质量管理体系文件,5.企业反腐败文件,“供应商简称-企业反腐败文件”
四、体系文件,4,4,质量管理体系文件,6.消防局颁发的消防许可证,“供应商简称-消防许可证”
四、体系文件,4,4,质量管理体系文件,7.废物/废水/废弃排放许可证,“供应商简称-排污许可证”
五、现场评审资料,5,1,供应商现场评审评分表,,“供应商简称-现成评审评分表”
五、现场评审资料,5,2,供应商现场评审报告,,“供应商简称-现场评审报告”
六、开发报告,6,1,供应商开发报告,,“供应商简称-开发报告”
七、技术资料(PPAP）,7,1,PPAP文件,,“供应商简称-PPAP文件”
八、不符项整改资料,8,1,供应商不符项整改通知单,,“供应商简称-不符项整改通知单”
八、不符项整改资料,8,2,供应商不符项整改跟踪表,,“供应商简称-不符项整改跟踪表”
八、不符项整改资料,8,2,供应商不良记录整改通知单,,“供应商简称-不良记录整改通知单”
八、不符项整改资料,8,3,供应商不良记录整改跟踪表,,“供应商简称-不良记录整改跟踪表”
九、投诉/索赔协议,9,1,投诉/索赔协议,,“供应商简称-投诉/索赔协议”
十、价格协议,10,1,价格协议,,“供应商简称-价格协议”

